atr_14,std_14,trend_slope,hour_sin,hour_cos,rsi_14,atr_pct,dist_ema9,dist_ema21,body_ratio,avg_body_5,dist_res_h1,dist_sup_h1,command_age_m1,command_body_ratio,command_range_pct,touch_close_level_ratio,touch_body_ratio,direction_up,symbol,from_ts,timeframe,direction,target
0.4528571428571441,0.5131330183346247,-0.5707081327733948,0.0,1.0,50.0,0.1,0.1268368440912118,-0.44459515686676476,0.7352941165657519,0.2160000000000025,36800.000000000065,7699.99999999996,0.0,0.6538461530078952,1.0441767068133325,-0.014705882331322563,0.7352941165657519,0.0,GOLD_otc,1785199800,1m,DOWN,0
0.16214285714285787,0.11611854495950866,-0.013529065700028202,0.0,1.0,50.0,0.1,0.3633397299648863,0.3497615077940768,0.8499999957499912,0.10400000000000062,2200.0000000000596,5999.999999999943,3.0,0.3142857133877522,1.0370370370063144,-0.09999999950001777,0.8499999957499912,0.0,NZDJPY_otc,1785200280,1m,DOWN,1
0.1221428571428572,0.09693092589889961,0.08891076217567624,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.09779024642998185,-0.008966430307739977,0.7777777734567946,0.05799999999999983,5199.99999999996,4299.999999999997,0.0,0.7999999960000072,0.47607712448284245,0.11111111049384471,0.7777777734567946,1.0,CADJPY_otc,1785200400,1m,UP,0
0.1471428571428568,0.11263331539226625,-0.034347340072704485,0.25881904510252074,0.9659258262890683,50.0,0.1,0.05963230286107512,0.025264480678513754,0.1666666638889679,0.05800000000000409,5399.999999999991,5600.000000000023,0.0,0.11999999952000454,0.5982292414310069,-0.3333333277776989,0.1666666638889679,0.0,EURJPY_otc,1785200400,1m,DOWN,0
0.46714285714285453,0.5165656878753001,0.05135265779123205,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.3433820434885595,-0.2922057215030367,0.5185185165980892,0.18200000000000216,16900.00000000012,9599.999999999936,4.0,0.6206896547443547,1.6365688487399968,0.40740740589849495,0.5185185165980892,1.0,NVIDIA_otc,1785200640,1m,UP,0
0.12071428571428607,0.08896227129675184,0.08002668927236892,0.25881904510252074,0.9659258262890683,50.0,0.1,0.19155645960231,0.271736445167386,0.6363636305785183,0.07600000000000051,1300.0000000000255,7000.000000000028,9.0,0.6521739102079422,0.36444303596316346,-0.36363636033057267,0.6363636305785183,0.0,EURNZD_otc,1785200940,1m,DOWN,1
0.13000000000000003,0.088370473911418,-0.10675235388858302,0.25881904510252074,0.9659258262890683,50.0,0.1,0.2248293908805824,0.11783702632500098,0.14285714183675646,0.08800000000000097,4200.000000000017,3999.9999999999854,0.0,0.1333333328888873,0.8941877794070204,-0.1428571418367057,0.14285714183675646,0.0,NZDJPY_otc,1785201600,1m,DOWN,1
0.1442857142857135,0.12602982378616293,0.07463624303338377,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.3219814622730032,-0.24758553410632392,0.8499999957499965,0.08800000000000097,4600.000000000008,8699.999999999975,11.0,0.9374999980468731,0.9702850212053794,0.14999999925000357,0.8499999957499965,1.0,GBPNZD_otc,1785201660,1m,UP,1
0.1571428571428576,0.22151451717373363,0.08575484734094325,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.6656625995617796,-0.5804785901668964,0.7999999946666619,0.11999999999999958,10399.99999999999,2800.0000000000114,2.0,0.6896551712247321,2.4775736863529367,0.1333333324444397,0.7999999946666619,1.0,CHFJPY_otc,1785201720,1m,UP,0
0.1471428571428563,0.16953232373576452,0.12542995376360802,0.25881904510252074,0.9659258262890683,50.0,0.1,0.5367666867506181,0.662869906721236,0.07692307633137356,0.08000000000000043,4799.999999999968,5600.000000000023,9.0,0.9999999980000001,2.1258503400456696,-0.07692307633134624,0.07692307633137356,0.0,CHFJPY_otc,1785203340,1m,DOWN,1
0.43642857142857344,0.18270855913687337,-0.1595620203955272,0.49999999999999994,0.8660254037844387,50.0,0.1,0.2223856499142788,0.062468786482678666,0.46428571345663994,0.3200000000000074,24699.99999999999,7600.000000000051,9.0,0.6774193541103023,1.0739030022970597,-0.3035714280293132,0.46428571345663994,0.0,NVIDIA_otc,1785204540,1m,DOWN,1
