atr_14,atr_pct,rsi_14,adx_14,plus_di_14,minus_di_14,bb_position,bb_width_pct,trend_slope,dist_ema9,dist_ema21,body_ratio,upper_wick_ratio,lower_wick_ratio,v1_wick_ratio,v1_body_atr,v2_body_atr,v3_body_atr,level_distance_atr,direction_up,hour_sin,hour_cos,symbol,from_ts,timeframe,direction,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25997447060162476,-0.22251948682244035,-0.48191546356621306,0.051282051282041004,0.7179487179487198,0.23076923076923916,0.12280701754387102,0.0,0.0,0.0,0.0,1.0,-0.25881904510252157,0.9659258262890681,NVIDIA_otc,1785195900,1m,UP,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06437339668041195,0.19579921612712134,0.13129977684061475,0.09756097560977216,0.7804878048780386,0.12195121951218921,0.5000000000000078,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,GOLD_otc,1785195960,1m,DOWN,1
0.3677862287812398,0.0746922148750952,0.0,0.0,9.389155378661643,12.520453149441344,0.0,0.0,0.009907042333518249,-0.023687057460168272,-0.013782361813460165,0.2755356253114774,0.3622321873442613,0.3622321873442613,0.47915220242229245,0.05881133742183904,0.11974347203247385,0.3007181654586059,0.25506664648871513,1.0,-0.25881904510252157,0.9659258262890681,PAYPAL_otc,1785196020,1m,UP,1
0.5192314163471158,0.11844052472618348,37.667952501383176,0.0,9.009059314728637,14.858507798172203,0.0,0.0,-0.025513981973220825,-0.03727000948804226,-0.0627744823977609,0.40000000000009095,0.20000000000004547,0.3999999999998636,0.7647058823529067,0.13481464679555694,0.17333311730854192,0.1925923525651439,0.6355547634647997,1.0,-0.25881904510252157,0.9659258262890681,STARBUCKS_otc,1785196080,1m,UP,1
0.49612413860386384,0.11688911002824046,28.696335870957938,0.0,12.185864309781653,23.251314912958872,0.0,0.0,-0.053096720003153706,-0.01564991661920993,-0.06873832702995561,0.5000000000000789,0.05555555555551169,0.44444444444440934,0.42187499999998057,0.5442186319734111,0.26203119317239165,0.3628124213156456,1.1690622464614484,0.0,-0.25881904510252157,0.9659258262890681,NETFLIX_otc,1785196200,1m,DOWN,1
0.46305709919473376,0.10911893184907479,30.869363562558064,0.0,12.761583649268724,18.52100699633027,-0.30514359249263884,0.43680560939542035,-0.05197481358313056,0.0012188535041472697,-0.05075659357581992,0.31111111111108863,0.33333333333329124,0.35555555555562013,0.2972972972971769,0.1727648709826624,0.021595608872940212,0.3023385242196899,0.5614858306937449,0.0,-0.25881904510252157,0.9659258262890681,NETFLIX_otc,1785196440,1m,DOWN,1
0.34357676829822886,0.06897024146340275,59.754533371631275,0.0,16.34507959676381,21.510815715533088,-0.8010693916377128,0.31581472981288233,-0.020495697530742672,-0.07211396088923173,-0.09259487816067312,0.312238736646333,0.3438225731536589,0.3439386902000081,0.17767226472053121,1.2803543213322974,0.20362261495880402,0.07826489588678903,0.07098850169889431,1.0,-0.25881904510252157,0.9659258262890681,VISA_otc,1785196500,1m,UP,1
0.15738541055376676,0.37733255946719435,23.510446741215787,0.0,12.909570530129765,28.559441110686084,-0.9627985167521479,1.5987233359899575,-0.34087817570046375,-0.4130296130756844,-0.7524998609659931,0.21428571428572155,0.3571428571428354,0.4285714285714431,0.35483870967741493,1.207227527198838,0.31769145452599573,0.19061487271561547,0.19061487271561547,1.0,-0.25881904510252157,0.9659258262890681,CADJPY_otc,1785196680,1m,UP,1
0.38011727782848026,0.07520910789145116,43.32999287706017,0.0,17.94666342099857,9.872395882039918,-0.5105469752834122,0.16589239636061193,-0.002237512366969884,-0.03371841956432729,-0.035955177477489476,0.1842730231330418,0.4078634884336041,0.4078634884333541,0.2717135504871516,1.0922418532823488,0.38125075720816165,0.11022913833163023,0.15853002090360688,1.0,-0.25881904510252157,0.9659258262890681,MASTERCARD_otc,1785196680,1m,UP,0
0.505961778227923,0.11393226107949359,50.33712048760963,22.08155745004473,12.869748053297942,12.71593428825579,0.26058104709517804,0.25414249722432125,-0.0065121114051312125,0.03681200137135973,0.030297492727688755,0.13513513513501058,0.43243243243249474,0.43243243243249474,0.8142857142857177,1.0870386334838784,0.03952867758131161,0.09882169395299814,1.2649176825994997,0.0,0.0,1.0,COKE_otc,1785197100,1m,DOWN,1
