atr_14,std_14,trend_slope,hour_sin,hour_cos,rsi_14,atr_pct,dist_ema9,dist_ema21,body_ratio,avg_body_5,dist_res_h1,dist_sup_h1,symbol,from_ts,timeframe,direction,target
0.4971428571428567,0.4363037806516747,0.14719937451492113,0.0,1.0,50.0,0.1,0.39458144777369164,0.5423616437116876,0.2162162156318408,0.17999999999999544,8400.000000000035,36299.999999999956,NVIDIA_otc,1785199020,1m,DOWN,1
0.4485714285714307,0.5834197214941433,-0.6340285425902816,0.0,1.0,50.0,0.1,-0.3310222756922982,-0.9629520425723588,0.44444444279837725,0.35400000000000204,39500.00000000003,5000.0,GOLD_otc,1785199680,1m,DOWN,1
0.09785714285714285,0.08280786712108265,-5.155333325877982,0.0,1.0,50.0,0.1,-33.140440781963335,-36.5872739198659,0.22222221975308634,0.027999999999999997,3199.9999999999995,1600.0,FORD_otc,1785199800,1m,UP,1
0.4535714285714221,0.4939146164586749,0.03103005676390722,0.0,1.0,50.0,0.1,0.016656287435804155,0.04769151265515746,0.27906976679286716,0.17600000000001045,168.99999999999977,147.00000000000273,AVAX_otc,1785199860,1m,UP,0
0.3971428571428578,0.39882037599356307,2.468554222193205,0.0,1.0,50.0,0.1,1.2829653104629242,3.7831902269968363,0.1794871790269564,0.20599999999999952,3500.000000000014,31499.999999999985,SPACEX_otc,1785199860,1m,UP,1
0.48142857142856393,0.4729548220878599,0.02827557457111779,0.0,1.0,50.0,0.1,0.0004929803305876172,0.028768694294726404,0.09999999985713474,0.12800000000000863,175.9999999999991,140.0000000000034,AVAX_otc,1785199920,1m,UP,1
0.10857142857142857,0.06769355643203859,-5.330997774154428,0.0,1.0,50.0,0.1,8.479902965209659,2.696841752729448,0.0714285709183674,0.03,2299.9999999999995,2500.0,FORD_otc,1785200100,1m,DOWN,1
0.478571428571444,0.3496686029197695,-0.01471043915131386,0.0,1.0,50.0,0.1,-0.017598827936640343,-0.03230667822307924,0.09090909049577381,0.1,251.99999999999818,86.00000000000136,PRATA_otc,1785200100,1m,UP,1
0.41000000000000064,0.22081890546497707,-0.04714525647960523,0.0,1.0,50.0,0.1,0.010057975538031555,-0.037092022799937736,0.34883720849101785,0.20199999999999818,200.9999999999991,49.00000000000091,COKE_otc,1785200160,1m,DOWN,1
0.37584428571428574,0.6827010038825985,0.11434294883728188,0.25881904510252074,0.9659258262890683,50.0,0.1,0.04937889085695851,0.16377830097414936,0.6587383628368142,0.15191400000001068,30.230000000000246,412.64300000000276,PAYPAL_otc,1785200760,1m,DOWN,1
0.13714285714285726,0.0944184047992461,-0.13379697792751394,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.3012530273112859,-0.4346469377923422,0.29999999699998225,0.05999999999999943,4099.999999999965,2700.000000000031,EURCHF_otc,1785200880,1m,UP,0
0.17499999999999918,0.3899344830851655,0.5168097662737065,0.25881904510252074,0.9659258262890683,50.0,0.1,0.6177398833775513,1.1377421896987208,0.17647058719719497,0.15799999999999984,800.000000000054,11299.999999999955,CADJPY_otc,1785201480,1m,DOWN,1
0.5271428571428568,0.720488234951113,-0.07485806609749389,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.1149052261303393,-0.18967727639770707,0.24999999921870558,0.1279999999999859,254.99999999999545,46.00000000000364,PRATA_otc,1785201480,1m,UP,1
0.4735714285714323,0.30407940692252544,-0.0206189358579011,0.25881904510252074,0.9659258262890683,50.0,0.1,0.011053975152839637,-0.009567239917107971,0.24528301840510414,0.1419999999999959,100.99999999999909,68.99999999999977,NETFLIX_otc,1785201780,1m,DOWN,0
0.11857142857143137,0.1158532607310145,-0.04500706369928187,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.0779466003389683,-0.12291858256218417,0.16666666527785673,0.043999999999999775,4400.000000000119,5199.99999999996,INTEL_otc,1785202200,1m,UP,1
0.47499999999999837,0.3590501816838713,-0.04982538458084549,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.08700727850142718,-0.13678931137114603,0.07407407393693495,0.2700000000000159,162.00000000000045,42.00000000000159,NETFLIX_otc,1785202200,1m,UP,0
0.47785714285713865,0.42552165787258184,0.06567975071829507,0.25881904510252074,0.9659258262890683,50.0,0.1,-0.04638802158590236,0.019261261595451946,0.5399999989199636,0.2940000000000055,99.00000000000091,187.00000000000045,AVAX_otc,1785202260,1m,UP,0
