symbol,command_from_ts,touch_from_ts,entry_from_ts,direction,command_color,level,target,hour_brasilia
AMZN_otc,1785396600,1785398280,1785398340,DOWN,RED,397.92,0,4
AMZN_otc,1785483900,1785485100,1785485160,UP,GREEN,415.74,0,5
AMZN_otc,1785584700,1785585660,1785585720,UP,GREEN,432.52,0,9
AMZN_otc,1785659400,1785660660,1785660720,UP,GREEN,442.03,0,5
AMZN_otc,1785677400,1785679140,1785679200,DOWN,RED,442.83,0,11
AMZN_otc,1785772800,1785774840,1785774900,DOWN,RED,447.51,1,13
AMZN_otc,1785895200,1785896940,1785897000,DOWN,RED,447.51,0,23
AMZN_otc,1785907800,1785909480,1785909540,DOWN,RED,447.5,1,2
AMZN_otc,1785972600,1785973860,1785973920,DOWN,RED,443.86,0,20
AMZN_otc,1786203000,1786204740,1786204800,UP,GREEN,440.1,1,13
APPLE_otc,1786082400,1786084080,1786084140,DOWN,RED,457.18,1,3
APPLE_otc,1786329000,1786329960,1786330020,DOWN,RED,426.26,1,23
AUDJPY_otc,1785997800,1785999240,1785999300,DOWN,RED,61.90341,1,3
AUDJPY_otc,1786233600,1786234560,1786234620,UP,GREEN,60.11366,0,21
AUDJPY_otc,1786365000,1786366500,1786366560,UP,GREEN,61.45474,1,9
AUDJPY_otc,1786483800,1786485780,1786485840,UP,GREEN,59.45515,0,19
AUDUSD_otc,1786013100,1786014480,1786014540,UP,GREEN,36.53783,0,8
AUDUSD_otc,1786041000,1786041900,1786041960,UP,GREEN,38.65343,0,15
AUDUSD_otc,1786063500,1786065540,1786065600,UP,GREEN,41.6777,0,22
AUDUSD_otc,1786097700,1786099020,1786099080,UP,GREEN,40.80449,1,7
AVAX_otc,1785722400,1785723840,1785723900,DOWN,RED,411.75,0,23
AVAX_otc,1785834000,1785835080,1785835140,UP,GREEN,439.76,1,6
AVAX_otc,1785999600,1786000980,1786001040,UP,GREEN,407.46,1,4
AVAX_otc,1786390200,1786392180,1786392240,DOWN,RED,409.51,1,17
BITCOIN_otc,1786009500,1786010400,1786010460,UP,GREEN,565.76,1,7
BITCOIN_otc,1786282200,1786284120,1786284180,DOWN,RED,512.05,1,11
CADJPY_otc,1785204000,1785204960,1785205020,DOWN,RED,43.6,0,23
CADJPY_otc,1785231000,1785232320,1785232380,DOWN,RED,42.21,1,6
CADJPY_otc,1785452400,1785453540,1785453600,UP,GREEN,39.9,1,20
CADJPY_otc,1785921300,1785922200,1785922260,DOWN,RED,35.94373,1,6
CADJPY_otc,1785932100,1785933060,1785933120,UP,GREEN,36.01358,1,9
CADJPY_otc,1785948300,1785949560,1785949620,DOWN,RED,41.67781,1,14
CADJPY_otc,1786344300,1786345320,1786345380,DOWN,RED,39.69275,1,4
CHFJPY_otc,1785240000,1785241440,1785241500,UP,GREEN,22.09,1,9
CHFJPY_otc,1785401100,1785403020,1785403080,UP,GREEN,9.63,1,6
CHFJPY_otc,1785406500,1785408420,1785408480,UP,GREEN,9.99,1,7
CHFJPY_otc,1785451500,1785453360,1785453420,DOWN,RED,11.88,0,20
CHFJPY_otc,1785471300,1785472560,1785472620,DOWN,RED,11.44,1,1
CHFJPY_otc,1785644100,1785645000,1785645060,DOWN,RED,11.72665,1,1
CHFJPY_otc,1785663900,1785665580,1785665640,DOWN,RED,12.17089,0,7
CHFJPY_otc,1785677400,1785678540,1785678600,UP,GREEN,11.17117,1,10
CHFJPY_otc,1785693600,1785694500,1785694560,DOWN,RED,10.32317,0,15
CHFJPY_otc,1786240800,1786242360,1786242420,UP,GREEN,9.89485,1,23
CHFJPY_otc,1786405500,1786406760,1786406820,UP,GREEN,11.04142,1,21
COKE_otc,1785234600,1785236520,1785236580,UP,GREEN,433.69,0,8
COKE_otc,1785399300,1785400440,1785400500,UP,GREEN,421.32,0,5
COKE_otc,1785476700,1785478080,1785478140,DOWN,RED,412.78,1,3
COKE_otc,1785660300,1785661980,1785662040,UP,GREEN,415.62,1,6
COKE_otc,1785816900,1785818100,1785818160,DOWN,RED,405.31,0,1
COKE_otc,1785852900,1785854940,1785855000,UP,GREEN,386.44,1,11
COKE_otc,1785878100,1785879840,1785879900,DOWN,RED,388.19,1,18
COKE_otc,1785887100,1785888000,1785888060,DOWN,RED,408.06,0,21
DISNEY_otc,1786265100,1786266000,1786266060,UP,GREEN,500.56,1,6
DISNEY_otc,1786365000,1786366380,1786366440,DOWN,RED,512.92,1,9
