symbol,command_from_ts,touch_from_ts,entry_from_ts,direction,command_color,level,target,hour_brasilia
DISNEY_otc,1786382100,1786383720,1786383780,UP,GREEN,501.54,0,14
DOGE_otc,1786426200,1786427220,1786427280,UP,GREEN,0.45,1,2
ETHEREUM_otc,1785458700,1785460320,1785460380,DOWN,RED,3.38,0,22
ETHEREUM_otc,1785694500,1785695580,1785695640,UP,GREEN,15.79,0,15
ETHEREUM_otc,1785771900,1785772800,1785772860,UP,GREEN,10.75,1,13
ETHEREUM_otc,1785818700,1785819780,1785819840,UP,GREEN,14.27,1,2
ETHEREUM_otc,1785951000,1785952380,1785952440,UP,GREEN,16.75,1,14
ETHEREUM_otc,1786113900,1786114980,1786115040,UP,GREEN,12.42,1,12
ETHEREUM_otc,1786164300,1786165260,1786165320,DOWN,RED,12.6,1,2
ETHEREUM_otc,1786218300,1786219320,1786219380,DOWN,RED,17.94,1,17
ETHEREUM_otc,1786221000,1786222440,1786222500,UP,GREEN,16.36,1,17
ETHEREUM_otc,1786392000,1786392900,1786392960,UP,GREEN,13.75,1,17
ETHEREUM_otc,1786452300,1786453800,1786453860,UP,GREEN,13.71,1,10
EURCAD_otc,1785208500,1785209640,1785209700,UP,GREEN,62.32,1,0
EURCAD_otc,1785306600,1785308220,1785308280,DOWN,RED,53.96,1,3
EURCAD_otc,1785438900,1785439860,1785439920,UP,GREEN,54.62,0,16
EURCAD_otc,1785537900,1785538920,1785538980,UP,GREEN,52.34126,1,20
EURCAD_otc,1785881700,1785882780,1785882840,DOWN,RED,56.12778,1,19
EURCAD_otc,1786445100,1786446480,1786446540,UP,GREEN,52.45939,1,8
EURCHF_otc,1785240900,1785241980,1785242040,DOWN,RED,32.33,1,9
EURCHF_otc,1785300300,1785302160,1785302220,DOWN,RED,34.53,1,2
EURCHF_otc,1785330000,1785332040,1785332100,UP,GREEN,35.06,1,10
EURCHF_otc,1785428100,1785429300,1785429360,UP,GREEN,31.99,1,13
EURCHF_otc,1785581100,1785582180,1785582240,DOWN,RED,31.73952,1,8
EURCHF_otc,1785688200,1785689220,1785689280,UP,GREEN,32.17189,0,13
EURCHF_otc,1785834000,1785835560,1785835620,DOWN,RED,31.51036,1,6
EURCHF_otc,1785836700,1785838560,1785838620,DOWN,RED,31.6993,1,7
EURCHF_otc,1785841200,1785842220,1785842280,DOWN,RED,31.75026,1,8
EURCHF_otc,1785950100,1785951660,1785951720,UP,GREEN,33.08039,1,14
EURCHF_otc,1786230000,1786231080,1786231140,UP,GREEN,31.93476,0,20
EURGBP_otc,1786288500,1786290240,1786290300,UP,GREEN,48.29638,1,12
EURJPY_otc,1785270600,1785272100,1785272160,DOWN,RED,38.57,0,17
EURJPY_otc,1785324600,1785326040,1785326100,DOWN,RED,37.27,1,8
EURJPY_otc,1785446100,1785447660,1785447720,UP,GREEN,38.18,1,18
EURJPY_otc,1785830400,1785831480,1785831540,DOWN,RED,38.36637,1,5
EURJPY_otc,1785869100,1785870060,1785870120,DOWN,RED,35.94634,0,16
EURJPY_otc,1785951000,1785952140,1785952200,DOWN,RED,38.24888,1,14
EURJPY_otc,1786087800,1786089000,1786089060,DOWN,RED,36.36781,0,4
EURJPY_otc,1786136400,1786137300,1786137360,DOWN,RED,37.26387,1,18
EURJPY_otc,1786307400,1786308780,1786308840,UP,GREEN,38.76298,1,17
EURJPY_otc,1786480200,1786481160,1786481220,DOWN,RED,40.05365,1,17
EURNZD_otc,1785582000,1785582900,1785582960,DOWN,RED,50.24561,1,8
EURNZD_otc,1785786300,1785787260,1785787320,UP,GREEN,50.26836,0,17
EURNZD_otc,1786248900,1786250280,1786250340,DOWN,RED,45.69902,0,1
EURNZD_otc,1786296600,1786297680,1786297740,DOWN,RED,46.32543,1,14
FORD_otc,1785213900,1785214980,1785215040,UP,GREEN,0.01,1,2
FORD_otc,1785636900,1785637980,1785638040,UP,GREEN,10.55,1,23
FORD_otc,1786182300,1786183320,1786183380,DOWN,RED,10.84,0,7
GBPCAD_otc,1785208500,1785209400,1785209460,DOWN,RED,41.93,0,0
GBPCAD_otc,1785313800,1785315240,1785315300,UP,GREEN,36.86,1,5
GBPCAD_otc,1785546900,1785547800,1785547860,UP,GREEN,35.1143,0,22
GBPCAD_otc,1785567600,1785569040,1785569100,DOWN,RED,36.97906,0,4
GBPCAD_otc,1785832200,1785833640,1785833700,DOWN,RED,35.53339,0,5
GBPCAD_otc,1786058100,1786059420,1786059480,UP,GREEN,34.97747,1,20
GBPNZD_otc,1785388500,1785389760,1785389820,DOWN,RED,43.57,0,2
GBPNZD_otc,1785389400,1785390600,1785390660,UP,GREEN,43.1,1,2
GBPNZD_otc,1785439800,1785441540,1785441600,UP,GREEN,39.25,0,17
GBPNZD_otc,1785499200,1785501240,1785501300,UP,GREEN,37.31,0,9
GBPNZD_otc,1785661200,1785662280,1785662340,UP,GREEN,39.33021,1,6
GBPNZD_otc,1785843900,1785845040,1785845100,UP,GREEN,37.96407,1,9
GBPNZD_otc,1786084200,1786085580,1786085640,UP,GREEN,41.05646,1,3
GBPNZD_otc,1786232700,1786233840,1786233900,DOWN,RED,37.14959,0,21
GBPNZD_otc,1786396500,1786398120,1786398180,DOWN,RED,37.40787,1,18
GOLD_otc,1785210300,1785211260,1785211320,DOWN,RED,71.73,1,1
GOLD_otc,1785557700,1785559080,1785559140,DOWN,RED,43.84,1,1
GOLD_otc,1785740400,1785741900,1785741960,UP,GREEN,40.67,1,4
GOLD_otc,1785771000,1785772260,1785772320,UP,GREEN,45.61,1,12
GOLD_otc,1785951000,1785952980,1785953040,DOWN,RED,38.61,1,15
GOLD_otc,1786392900,1786393800,1786393860,DOWN,RED,40.42,1,17
IBM_otc,1786007700,1786009440,1786009500,DOWN,RED,476.92,0,6
IBM_otc,1786198500,1786199400,1786199460,DOWN,RED,495.8,0,11
IBM_otc,1786329000,1786330980,1786331040,DOWN,RED,509.3,0,0
INTEL_otc,1785591000,1785591960,1785592020,DOWN,RED,76.59,1,10
INTEL_otc,1785731400,1785733320,1785733380,UP,GREEN,86.7,1,2
INTEL_otc,1785838500,1785840540,1785840600,UP,GREEN,93.11,1,7
INTEL_otc,1785864600,1785866400,1785866460,UP,GREEN,82.22,1,15
INTEL_otc,1785987900,1785989100,1785989160,UP,GREEN,74.53,1,1
INTEL_otc,1786301100,1786302120,1786302180,UP,GREEN,86.38,1,16
INTEL_otc,1786322700,1786323660,1786323720,DOWN,RED,86.42,1,22
LINK_otc,1785210300,1785211200,1785211260,DOWN,RED,468.24,1,1
LINK_otc,1785224700,1785225960,1785226020,UP,GREEN,467.81,1,5
LINK_otc,1785277800,1785279180,1785279240,UP,GREEN,462.93,1,19
LINK_otc,1785385800,1785387360,1785387420,DOWN,RED,477.01,1,1
LINK_otc,1785799800,1785800760,1785800820,DOWN,RED,505.93,1,20
LINK_otc,1786146300,1786147260,1786147320,DOWN,RED,472.63,1,21
LINK_otc,1786195800,1786196820,1786196880,UP,GREEN,466.19,1,10
LINK_otc,1786241700,1786243080,1786243140,UP,GREEN,459.08,0,23
LINK_otc,1786267800,1786269360,1786269420,UP,GREEN,453.96,1,6
LINK_otc,1786452300,1786453320,1786453380,DOWN,RED,476.78,1,10
MASTERCARD_otc,1785590100,1785591720,1785591780,DOWN,RED,517.21,1,10
MASTERCARD_otc,1786095900,1786097160,1786097220,DOWN,RED,484.3,1,7
MASTERCARD_otc,1786422600,1786423620,1786423680,UP,GREEN,492.78,1,1
MASTERCARD_otc,1786452300,1786453440,1786453500,UP,GREEN,492.77,1,10
META_otc,1786012200,1786013220,1786013280,UP,GREEN,496.81,0,7
META_otc,1786308300,1786310280,1786310340,UP,GREEN,489.15,0,18
MICROSOFT_otc,1785905100,1785906120,1785906180,UP,GREEN,451.95,0,2
MICROSOFT_otc,1786017600,1786018740,1786018800,DOWN,RED,454.88,1,9
MICROSOFT_otc,1786095000,1786096560,1786096620,DOWN,RED,458.43,1,6
MICROSOFT_otc,1786236300,1786237200,1786237260,UP,GREEN,453.47,0,22
NETFLIX_otc,1785563100,1785564420,1785564480,DOWN,RED,419.1,0,3
NETFLIX_otc,1785842100,1785843420,1785843480,DOWN,RED,448.47,1,8
NETFLIX_otc,1786149000,1786150020,1786150080,DOWN,RED,420.11,0,21
NETFLIX_otc,1786266900,1786268580,1786268640,UP,GREEN,418.44,0,6
NETFLIX_otc,1786302000,1786303020,1786303080,DOWN,RED,422.85,0,16
NETFLIX_otc,1786415400,1786416300,1786416360,DOWN,RED,428.06,1,23
NIKE_otc,1785231900,1785233160,1785233220,UP,GREEN,360.84,0,7
NIKE_otc,1785306600,1785307500,1785307560,DOWN,RED,350.59,0,3
NIKE_otc,1785457800,1785458820,1785458880,UP,GREEN,325.7,1,21
NIKE_otc,1785643200,1785644640,1785644700,UP,GREEN,321.22,1,1
NIKE_otc,1785889800,1785891000,1785891060,DOWN,RED,357.98,1,21
NIKE_otc,1785969000,1785970620,1785970680,DOWN,RED,358.68,1,19
NIKE_otc,1786199400,1786201080,1786201140,DOWN,RED,332.0,0,11
NIKE_otc,1786207500,1786208640,1786208700,DOWN,RED,335.43,0,14
NIKE_otc,1786402800,1786403700,1786403760,DOWN,RED,326.31,1,20
NVIDIA_otc,1785248100,1785249120,1785249180,UP,GREEN,84.21,0,11
NVIDIA_otc,1785396600,1785397620,1785397680,DOWN,RED,44.12,1,4
NVIDIA_otc,1786092300,1786093320,1786093380,DOWN,RED,61.68,0,6
NVIDIA_otc,1786305600,1786307580,1786307640,UP,GREEN,50.21,1,17
NVIDIA_otc,1786326300,1786328160,1786328220,DOWN,RED,49.49,1,23
NZDJPY_otc,1785366900,1785368160,1785368220,DOWN,RED,30.5,1,20
NZDJPY_otc,1785420900,1785421860,1785421920,UP,GREEN,23.85,1,11
NZDJPY_otc,1785528000,1785528960,1785529020,DOWN,RED,19.26159,0,17
NZDJPY_otc,1785717900,1785719040,1785719100,DOWN,RED,18.55457,1,22
NZDJPY_otc,1785870900,1785872100,1785872160,DOWN,RED,20.46977,0,16
NZDJPY_otc,1786074300,1786076340,1786076400,UP,GREEN,17.73548,0,1
NZDJPY_otc,1786214700,1786215960,1786216020,UP,GREEN,19.16605,1,16
NZDJPY_otc,1786300200,1786301460,1786301520,UP,GREEN,20.19125,1,15
PAYPAL_otc,1785566700,1785568080,1785568140,UP,GREEN,505.75,1,4
PAYPAL_otc,1786044600,1786046220,1786046280,DOWN,RED,464.24,0,16
PAYPAL_otc,1786181400,1786183260,1786183320,DOWN,RED,474.82,1,7
PAYPAL_otc,1786194900,1786196640,1786196700,DOWN,RED,467.87,0,10
PAYPAL_otc,1786412700,1786414200,1786414260,DOWN,RED,495.23,1,23
PETROLEO_otc,1785217500,1785218460,1785218520,UP,GREEN,448.76,1,3
PETROLEO_otc,1785255300,1785256800,1785256860,UP,GREEN,446.11,1,13
PETROLEO_otc,1785274200,1785275580,1785275640,UP,GREEN,446.3,1,18
PETROLEO_otc,1785342600,1785343920,1785343980,UP,GREEN,438.13,1,13
PETROLEO_otc,1785557700,1785558840,1785558900,DOWN,RED,424.68,1,1
PRATA_otc,1785326400,1785327540,1785327600,UP,GREEN,395.89,1,9
PRATA_otc,1785421800,1785422940,1785423000,DOWN,RED,375.12,1,11
PRATA_otc,1785599100,1785600360,1785600420,DOWN,RED,389.16,1,13
PRATA_otc,1785931200,1785932580,1785932640,UP,GREEN,385.4,0,9
PRATA_otc,1785997800,1785999180,1785999240,DOWN,RED,373.3,1,3
PRATA_otc,1786087800,1786088700,1786088760,UP,GREEN,377.66,0,4
PRATA_otc,1786416300,1786417200,1786417260,UP,GREEN,380.7,1,0
SHIBA_otc,1785396600,1785398340,1785398400,UP,GREEN,45.21,1,5
SHIBA_otc,1785419100,1785421140,1785421200,UP,GREEN,47.1,1,11
SHIBA_otc,1785627900,1785629340,1785629400,DOWN,RED,34.68,1,21
SHIBA_otc,1785816900,1785817980,1785818040,DOWN,RED,44.98,1,1
SHIBA_otc,1786171500,1786172820,1786172880,UP,GREEN,44.34,0,4
SHIBA_otc,1786344300,1786345440,1786345500,DOWN,RED,38.03,1,4
SHIBA_otc,1786415400,1786416540,1786416600,UP,GREEN,41.47,1,23
SHIBA_otc,1786477500,1786478940,1786479000,DOWN,RED,38.76,0,17
SHIBA_otc,1786486500,1786488240,1786488300,UP,GREEN,39.22,0,19
SOLANA_otc,1786106700,1786108320,1786108380,DOWN,RED,5.3,0,10
SOLANA_otc,1786147200,1786148700,1786148760,UP,GREEN,6.84,1,21
SOLANA_otc,1786262400,1786263720,1786263780,UP,GREEN,7.22,1,5
SOLANA_otc,1786269600,1786271580,1786271640,DOWN,RED,5.15,1,7
SOLANA_otc,1786383900,1786385760,1786385820,DOWN,RED,7.73,1,15
SPACEX_otc,1785337200,1785338760,1785338820,DOWN,RED,17.1,0,12
SPACEX_otc,1785510900,1785511920,1785511980,UP,GREEN,7.28,1,12
SPACEX_otc,1785661200,1785662640,1785662700,UP,GREEN,9.64,1,6
SPACEX_otc,1785822300,1785823500,1785823560,UP,GREEN,7.31,0,3
SPACEX_otc,1785831300,1785832620,1785832680,DOWN,RED,8.6,1,5
SPACEX_otc,1785977100,1785978780,1785978840,UP,GREEN,5.33,0,22
SPACEX_otc,1786067100,1786068000,1786068060,UP,GREEN,9.78,0,23
SPACEX_otc,1786071600,1786072920,1786072980,UP,GREEN,6.92,1,0
SPACEX_otc,1786078800,1786080540,1786080600,DOWN,RED,5.71,0,2
SPACEX_otc,1786370400,1786371780,1786371840,UP,GREEN,7.33,1,11
SPOTIFY_otc,1785479400,1785480360,1785480420,UP,GREEN,490.06278,1,3
SPOTIFY_otc,1785950100,1785951660,1785951720,DOWN,RED,460.26,1,14
SPOTIFY_otc,1785961800,1785963060,1785963120,DOWN,RED,456.43,1,17
SPOTIFY_otc,1786311000,1786312140,1786312200,DOWN,RED,460.59,1,18
SPOTIFY_otc,1786425300,1786426440,1786426500,UP,GREEN,489.48,1,2
STARBUCKS_otc,1785205800,1785207720,1785207780,UP,GREEN,435.74,1,0
STARBUCKS_otc,1785304800,1785306000,1785306060,DOWN,RED,442.6,1,3
STARBUCKS_otc,1785460500,1785461520,1785461580,DOWN,RED,451.06,1,22
STARBUCKS_otc,1786154400,1786155300,1786155360,DOWN,RED,470.35,1,23
SUI_otc,1785300300,1785301440,1785301500,UP,GREEN,398.83,0,2
SUI_otc,1785582900,1785584940,1785585000,DOWN,RED,386.87,1,8
SUI_otc,1785689100,1785690300,1785690360,UP,GREEN,402.58,1,14
SUI_otc,1785692700,1785693840,1785693900,UP,GREEN,405.92,0,15
SUI_otc,1785787200,1785788160,1785788220,DOWN,RED,406.9,1,17
SUI_otc,1785811500,1785813000,1785813060,UP,GREEN,404.3,1,0
SUI_otc,1785966300,1785967740,1785967800,UP,GREEN,386.37,1,19
SUI_otc,1786095900,1786097640,1786097700,UP,GREEN,377.53,1,7
SUI_otc,1786097700,1786099680,1786099740,UP,GREEN,377.6,1,7
SUI_otc,1786392000,1786393500,1786393560,UP,GREEN,379.52,1,17
VISA_otc,1785523500,1785524760,1785524820,DOWN,RED,505.38,1,16
VISA_otc,1785782700,1785784620,1785784680,DOWN,RED,527.14,0,16
VISA_otc,1785784500,1785786000,1785786060,UP,GREEN,526.44,0,16
VISA_otc,1785823200,1785825060,1785825120,UP,GREEN,525.09,0,3
VISA_otc,1785920400,1785922080,1785922140,UP,GREEN,534.46,1,6
VISA_otc,1786032000,1786033380,1786033440,UP,GREEN,543.56,0,13
VISA_otc,1786231800,1786233120,1786233180,DOWN,RED,538.32,0,20
VISA_otc,1786255200,1786256100,1786256160,UP,GREEN,547.04,1,3
VISA_otc,1786271400,1786273020,1786273080,UP,GREEN,548.45,1,7
